tweet,sentiment,sentiment_score
Here are my predictions for the weekend's game against Arsenal.. @ManUtd #MUFC ,negative,-0.4
@JesseLingard you’ve been a Manchester graduate and with the #mufc DNA you were good to us go make it happen in the… ,positive,0.7
"We signed Bruno Fernandes exactly an year ago today. What a signing he has been for United 😍
#OTD #brunofernandes… ",positive,0.25
"From Argentina: Manchester United, Marcos Rojo, Boca Juniors 

#MUFC 

 ",neutral,0.0
"The fourth most popular player in the country? 

Anthony Martial is 'more popular' than Lionel Messi in China accor… ",positive,0.3666666666666667
"One year ago Ole replaced Jesse with this guy. 

#MUFC ",neutral,0.0
"£127,000-a-week star offered to Manchester United – Report #mufc 

",neutral,0.0
"#Arsenal manager Mikel Arteta hopes Thomas Partey will be fit for Premier League clash against #MUFC.

“We will hav… ",positive,0.4
"Bruno Fernandes: A midfielder, a striker, a defender, a player-coach, all wrapped in one. The dream player of the 2… ",neutral,0.0
"J'ai trop hâte que Lingard parte juste pour les vidéos d'adieux, le mec a un nombre golazo monstrueux 😭❤️ #mufc",neutral,0.0
"✍️ Man United suffered a shock defeat on Wednesday...

Read what Solskjaer had to say to the media in my piece for… ",neutral,0.0
"Happy Bruno Fernandes Day!! 

@B_Fernandes8 @ManUtd #MUFC",positive,1.0
Happy Bruno Fernandes Day #MUFC,positive,0.8
#mufc are ready to give Amad Diallo his youth debut on Saturday as the u23s play Liverpool. [espn],neutral,0.2
"Opinion @fabiola_cejku: United against racism, but words are just not enough... 🚨 #MUFC #UnitedAgainstRacism ",neutral,0.0
"Opinion @fabiola_cejku: United against racism, but words are just not enough... 🚨 #MUFC #UnitedAgainstRacism ",neutral,0.0
"Opinion @fabiola_cejku: United against racism, but words are just not enough... 🚨 #MUFC #UnitedAgainstRacism ",neutral,0.0
"@ESPNFC Bruno Fernandes: he's the standard, your midfielders dream midfielder, the best there is. #MUFC",positive,0.5
Définition même de notre équipe #MUFC ,neutral,0.0
"It's been a year since Bruno Fernandes signed for Man United:

He's been directly involved in more PL goals than an… ",positive,0.3
"Looks like Rashford was carrying a knock on weds. I’d play Pogba LW, Cavani ST and Greenwood RW against Arsenal. #mufc",neutral,0.0
"Il y a 1 an jour pour jour, Bruno Fernandes signait à Manchester United contre 80 M€ ! #MUFC ",neutral,0.0
"Odion Ighalo 🇳🇬 - Man Wey Sabi 

𝙊𝙣𝙘𝙚 𝘼 𝙍𝙚𝙙, 𝘼𝙡𝙬𝙖𝙮𝙨 𝘼 𝙍𝙚𝙙 
@ighalojude 
#MUFC 🔴⚫️ #MUIP ",neutral,0.0
BREAKING: West Ham have agreed a deal to sign Jesse Lingard on loan from #MUFC for the rest of the season.,neutral,0.0
"Hans betydning er efterhånden på niveau med Cantona. 

Nu mangler Uniteds andre angribere “bare” at vise deres værd… ",neutral,0.05
Fernandes reveals Cavani’s advice before game-winning free-kick vs Liverpool  #MUFC #ManUTD… ,neutral,0.0
Give the lad a start ASAP. Kids already good enough and has more heart than Martials fucking shin pad #mufc ,neutral,0.15
My combined XI #AFC #MUFC ,neutral,0.0
"⚽ 📚 Inglory, Inglory #ManUnited chronicles the travails of United in the 1980s from the perspective of a Warrington… ",neutral,0.0
#mufc are ready to give Amad Diallo his youth debut on Saturday as the u23s play Liverpool. [espn],neutral,0.2
Theres still fans that will say hes overrated though. Right now hes probably the best midfielder in the league and… ,positive,0.6428571428571428
@ManUtd We no longer in Champions League Because of one Game! We were knocked out EFL semifinal because of One Game… ,negative,-0.5
"1 year ago today 🤩

#brunofernandes #MUFC  ",neutral,0.0
Roy Keane accused of 'anti-Liverpool bias' by 'annoyed' Ian Holloway #mufc #ManUtd ,negative,-0.4
"🚨🚨🚨@FPellistri07 is close to completing a short term loan to @Alaves .
Both parties are working hard to complete th… ",neutral,-0.0638888888888889
They can't afford more droped points #mufc ,positive,0.5
"@JLingz trzymaj się młotku😆

#MUFC #Lingard #WHUFC",neutral,0.0
"I really want to see Jesse Lingard smash it at West Ham.
Top guy.
#MUFC",positive,0.35
"Marcos Rojo will have his Boca Juniors medical on Monday. On Tuesday, he will take part in his first training session at Boca. #MUFC",neutral,0.125
"Harry Maguire makes the @WhoScored Team of The Week 🙌
#MUFC ",neutral,0.0
Been making #mufc vids over on TikToks for the last few months and I swear more rival fans comment than United fans… ,neutral,0.09999999999999999
The latest The Community Scheme!  Thanks to @Wayne_Dixon @sammym71 @SportingAnswer #mufc #lfc,positive,0.4125
".@low6sports fan channels clash this weekend as #MUFC travel to #AFC. 📺

💷 £1,000 cash prizes available on both of… ",positive,0.4
@RedVoicesMUFC @IwanLikeThis @RichRedVoices Good way to start the podcast by separately addressing the disgraceful… ,positive,0.7
Manchester United are ready to hand a youth debut to new signing Amad Diallo on Saturday when the Under-23s play Li… ,neutral,0.16818181818181818
🗞 Marcus Rashford has been given additional finishing lessons by #mufc manager Ole Gunnar Solskjær. There is a view… ,neutral,0.0
